2022³â 4¿ù 15ÀÏ 
001°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11695
002°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15899
003°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£18041
004°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3500
005°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£12193
006°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£22983
007°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1843
008°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£10120
009°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2096
010°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£12016
011°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£30582
012°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£25283
013°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£8362
014°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15421
015°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11164
016°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£4453
017°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£5579
018°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£13066
019°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14567
020°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14263
021°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£20100
022°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£17174
023°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£8804
024°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£21916
025°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£28666
026°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£20091
027°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3349
028°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23076
029°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£21202
030°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£6628
031°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£32590
032°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£30047
033°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23980
034°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£19706
035°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£12128
036°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15471
037°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£26861
038°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£22303
039°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£9589
040°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£21473
041°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£4034
042°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3167
043°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£13499
044°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£5182
045°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£4706
046°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3747
047°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£4037
048°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23772
049°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11667
050°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£22312
051°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£31790
052°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2298
053°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2927
054°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£29744
055°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£27007
056°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15116
057°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£12648
058°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£20216
059°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£28498
060°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£29268
061°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3978
062°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3561
063°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£30392
064°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£7858
065°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£5376
066°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£26386
067°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£4825
068°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£9917
069°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£28122
070°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£30422
071°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£19674
072°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£5138
073°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£19981
074°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£28386
075°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£26372
076°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23021
077°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£28091
078°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£12643
079°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23330
080°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£27126
081°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£6837
082°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11381
083°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£6186
084°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2909
085°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£831
086°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2526
087°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£17184
088°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£10280
089°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£7699
090°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1788
091°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£32568
092°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1228
093°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£21416
094°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2300
095°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£315
096°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£5627
097°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£19635
098°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£16717
099°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£29227
100°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£26814
ÃÑ»ý»êº¼Ææ 100=> °Ë80, »¡9, ÆÄ11, ºÒ·®6

2022³â 4¿ù 15ÀÏ 
001°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11715
002°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14854
003°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£26922
004°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£16808
005°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£8545
006°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£13775
007°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£20517
008°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£25324
009°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2862
010°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£7895
011°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£29695
012°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£25548
013°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£10123
014°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£16395
015°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£13245
016°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£10177
017°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2647
018°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£25313
019°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£25551
020°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£24339
021°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23057
022°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11755
023°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£589
024°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£31236
025°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£17980
026°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£20908
027°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£128
028°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23626
029°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15624
030°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£30634
031°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£17828
032°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£25795
033°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£9262
034°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£10180
035°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£20204
036°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£7525
037°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£6428
038°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£6086
039°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£4295
040°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£10100
041°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£31826
042°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£6459
043°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£32098
044°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14327
045°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£19468
046°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£6531
047°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£21614
048°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14444
049°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£4641
050°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£26661
051°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£8227
052°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£24507
053°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£26923
054°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14182
055°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£901
056°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£22377
057°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£23784
058°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2842
059°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15846
060°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£16654
061°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£10720
062°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2490
063°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1964
064°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£12297
065°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£8264
066°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£25527
067°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11348
068°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£27506
069°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11815
070°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£17678
071°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1463
072°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3152
073°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£21687
074°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1309
075°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15500
076°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£19468
077°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£3342
078°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2228
079°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£29231
080°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£5926
081°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£24573
082°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£2672
083°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14241
084°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14375
085°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£13625
086°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£15684
087°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£30159
088°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11991
089°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£7608
090°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£32089
091°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£11031
092°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1967
093°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£7518
094°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£792
095°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£8712
096°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£18321
097°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£14297
098°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£19589
099°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£1385
100°³ º¼Ææ»ý»ê -> º¼Ææ¹øÈ£16311
ÃÑ»ý»êº¼Ææ 100=> °Ë83, »¡6, ÆÄ11, ºÒ·®5

